zone,latitude,longitude
106070,13.40840,129.02863
103069,11.96333,133.98970
099069,11.96390,140.16328
104068,10.51660,132.76689
106068,10.52106,129.66168
227072,16.29124,58.57422
227078,24.93212,60.65510
224072,16.29032,53.93239
227071,14.85084,58.24269
220074,19.17208,48.42141
220073,17.73186,48.08212
